"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2022","1,255.20","1,244.39","1,259.37","1,237.20","404.67M","1.30%"
"09/13/2022","1,239.14","1,265.57","1,271.53","1,235.57","448.57M","-5.22%"
"09/12/2022","1,307.33","1,297.71","1,311.72","1,297.71","340.14M","1.35%"
"09/09/2022","1,289.97","1,272.86","1,292.27","1,272.26","352.20M","2.81%"
"09/07/2022","1,254.70","1,217.73","1,256.28","1,217.64","356.25M","3.08%"
"09/06/2022","1,217.26","1,225.92","1,228.54","1,200.12","365.39M","-0.33%"
"09/02/2022","1,221.30","1,246.91","1,250.30","1,213.80","353.86M","-0.84%"
"09/01/2022","1,231.63","1,212.60","1,232.61","1,200.15","370.87M","0.87%"
"08/31/2022","1,221.06","1,238.89","1,243.98","1,220.90","374.06M","-1.05%"
"08/30/2022","1,234.06","1,259.54","1,261.73","1,221.74","360.77M","-1.11%"
"08/29/2022","1,247.91","1,242.62","1,258.31","1,240.49","298.93M","-0.54%"
"08/26/2022","1,254.71","1,306.56","1,310.97","1,254.60","355.81M","-3.88%"
"08/25/2022","1,305.34","1,297.00","1,306.59","1,287.86","338.42M","1.29%"
"08/24/2022","1,288.69","1,279.38","1,301.97","1,277.95","268.89M","0.37%"
"08/23/2022","1,283.91","1,282.11","1,293.40","1,276.98","264.89M","0.32%"
"08/22/2022","1,279.80","1,294.87","1,296.18","1,277.42","323.80M","-2.84%"
"08/19/2022","1,317.25","1,332.54","1,335.07","1,313.15","317.20M","-2.10%"
"08/18/2022","1,345.50","1,343.95","1,348.69","1,336.53","252.04M","-0.04%"
"08/17/2022","1,346.02","1,346.26","1,359.71","1,336.79","340.27M","-1.12%"
"08/16/2022","1,361.28","1,348.76","1,375.13","1,344.00","368.28M","1.09%"
"08/15/2022","1,346.60","1,333.22","1,350.54","1,332.97","274.22M","0.61%"
"08/12/2022","1,338.45","1,317.86","1,338.45","1,307.01","283.26M","2.30%"
"08/11/2022","1,308.41","1,329.71","1,333.61","1,304.30","321.92M","-0.66%"
"08/10/2022","1,317.11","1,318.50","1,322.44","1,302.06","399.49M","2.87%"
"08/09/2022","1,280.32","1,293.25","1,296.56","1,272.95","346.37M","-1.54%"
"08/08/2022","1,300.29","1,309.28","1,328.33","1,295.17","379.79M","0.30%"
"08/05/2022","1,296.45","1,300.63","1,315.20","1,289.59","326.91M","-1.66%"
"08/04/2022","1,318.30","1,315.82","1,322.07","1,307.46","376.47M","0.54%"
"08/03/2022","1,311.19","1,292.72","1,317.27","1,289.16","415.01M","2.52%"
"08/02/2022","1,279.01","1,280.80","1,301.87","1,275.85","393.40M","-0.70%"
"08/01/2022","1,288.07","1,282.10","1,307.21","1,275.51","447.62M","0.51%"
"07/29/2022","1,281.51","1,264.43","1,286.96","1,254.51","490.41M","4.27%"
"07/28/2022","1,229.07","1,216.06","1,231.23","1,196.18","487.10M","1.67%"
"07/27/2022","1,208.91","1,179.90","1,214.78","1,177.27","393.89M","3.85%"
"07/26/2022","1,164.09","1,177.26","1,180.86","1,161.77","366.40M","-3.31%"
"07/25/2022","1,203.88","1,215.73","1,216.22","1,195.99","293.86M","-0.85%"
"07/22/2022","1,214.18","1,229.27","1,238.01","1,206.54","378.47M","-0.66%"
"07/21/2022","1,222.21","1,201.79","1,222.85","1,192.39","489.84M","2.25%"
"07/20/2022","1,195.35","1,176.91","1,197.87","1,175.24","394.89M","1.76%"
