Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
MAS,"Masco Corp",+37.86,67.52,-0.66000000000001,-0.97%,69.66,46.69,+31.61%,"10:08 ET"
MCD,"McDonald's Corp",+9.43,291.66,-2.4299999999999,-0.83%,299.35,245.73,+8.94%,"10:09 ET"
MCHP,"Microchip Technology",+12.66,84.22,-1.22,-1.43%,94.3,68.75,+12.98%,"10:09 ET"
MCK,"Mckesson Corp",+31.98,487.89,4.2,+0.87%,486.99,331.75,+27.67%,"10:09 ET"
MCO,"Moody's Corp",+22.45,373.56,-3.03,-0.80%,396.91,278.23,+21.90%,"10:08 ET"
MDLZ,"Mondelez Intl Inc",+8.45,72.93,-0.14999999999999,-0.21%,78.59,60.75,+7.86%,"10:09 ET"
MDT,"Medtronic Inc",+10.74,87.07,-0.010000000000005,-0.01%,92.02,68.84,+8.60%,"10:09 ET"
MET,"Metlife Inc",+5.72,68.85,-0.45,-0.65%,73.28,48.95,-3.47%,"10:09 ET"
META,"Meta Platforms Inc",+141.65,366.65,-3.8200000000001,-1.03%,372.94,131.76,+177.83%,"10:09 ET"
MGM,"MGM Resorts International",+7.48,42.59,-0.9,-2.07%,51.35,34.12,+11.20%,"10:09 ET"
MHK,"Mohawk Industries",-2.15,104.8,-1.54,-1.45%,130.63,76.02,-10.95%,"10:08 ET"
MKC,"Mccormick & Company",-21.56,66.16,-0.11,-0.17%,94.39,59.13,-20.92%,"10:09 ET"
MKTX,"Marketaxess Holdings",-13.65,269.39,-2.61,-0.96%,399.78,200.01,-17.82%,"10:09 ET"
MLM,"Martin Marietta Materials",+41.92,493.8,-6.14,-1.23%,500.93,317.94,+40.20%,"10:09 ET"
MMC,"Marsh & Mclennan Companies",+10.76,193.35,0.91,+0.47%,202.81,151.86,+10.76%,"10:09 ET"
MMM,"3M Company",-8.09,107.4,-0.89999999999999,-0.83%,129.9,85.35,-16.40%,"10:09 ET"
MNST,"Monster Beverage Cp",+15.20,58.41,-0.5,-0.85%,60.47,47.13,+15.39%,"10:09 ET"
MO,"Altria Group",-10.89,41.03,-0.030000000000001,-0.07%,51.57,39.06,-10.38%,"10:09 ET"
MOH,"Molina Healthcare Inc",+33.81,381.65,1.99,+0.52%,386.33,256.19,+25.61%,"10:08 ET"
