,Market Capitalization,Book to Market Ratio
FIS,35803808000.0,0.7654493063978
FITB,23226362000.0,0.7460057670676105
FLT,20755790000.0,0.12244742310458913
FMC,7213565000.0,0.46827054306712423
FOX,14666831000.0,0.7075829809452362
FOXA,14548493000.0,0.7133384880482123
FRT,8380669000.0,0.3833088981321181
FSLR,16613707000.0,0.3512795187732635
FTNT,48117240000.0,-0.005852372247452264
FTV,26027201000.0,0.37204922649961475
GD,68052320000.0,0.272848890383164
GE,142829421000.0,0.24443843401143522
GEHC,33469465000.0,0.28658958247465266
GEN,15095245000.0,0.14574125825715317
GILD,108766724000.0,0.1952803138577567
GIS,36770877000.0,0.2909911558541288
GL,11548365000.0,0.342003132045099
GLW,25851202000.0,0.47483285303329414
GM,48370033000.0,1.4944170081504802
GNRC,7215756000.0,0.3284099406908992
GOOG,1837054558000.0,0.13943189595787717
GOOGL,1849748488000.0,0.13847504223503926
GPC,20128084000.0,0.1883121612568787
GPN,34327081000.0,0.656630547759071
GRMN,24243552000.0,0.2559171197355899
GS,124173664000.0,0.9437508423686363
GWW,43461693000.0,0.05614139329547056
HAL,30816641000.0,0.25885364988351584
HAS,6713402000.0,0.4262965334118231
HBAN,18726779000.0,0.9488551127772694
HCA,76259295000.0,-0.03628410149870911
HD,349247406000.0,0.004472474163487416
HES,42191360000.0,0.20136824221831198
HIG,25797040000.0,0.530138341453128
HII,10161668000.0,0.3433491430737552
HLT,48326115000.0,-0.022720634588565623
HOLX,17536004000.0,0.2860914037200265
HON,133788402000.0,0.12480155043633752
HPE,20136999000.0,1.051894574757639
HPQ,28909566000.0,-0.03697737973652043
HRL,16798925000.0,0.46043928406133133
HSIC,9724559000.0,0.4803302648479998
HST,14015626000.0,0.49080932952976913
HSY,38498791000.0,0.08570513292222605
HUBB,17718317000.0,0.13379374576039021
HUM,50170192000.0,0.3063572090774538
HWM,23086486000.0,0.15597869680123688
IBM,157814358000.0,0.13953736706263445
ICE,72861942000.0,0.3123853053491218
IDXX,44143641000.0,0.013789913704671529
IEX,15822368000.0,0.19210778057999914
IFF,20289577000.0,0.8701512111366343
ILMN,22351100000.0,0.29524273973093046
INCY,13782703000.0,0.31707271062867715
INTC,206120239000.0,0.4920574539019431
INTU,177988911000.0,0.09702289824111571
INVH,20726985000.0,0.4980768307595147
IP,12633080000.0,0.7467695922134586
IPG,12363368000.0,0.30285436783892544
IQV,38969225000.0,0.14793725048419618
IR,32116593000.0,0.288237298395879
IRM,19823202000.0,0.03211731384263753
ISRG,132312179000.0,0.08398773328341906
IT,36738138000.0,0.006200586431462585
ITW,77535322000.0,0.029328568468445903
IVZ,7817743000.0,2.1543558032030474
J,16878343000.0,0.38784731415874174
JBHT,21426407000.0,0.17115263422374083
JBL,15994269000.0,0.1792517057203427
JCI,37414187000.0,0.4422119342055996
JKHY,12294129000.0,0.13083562080729752
JNJ,384707428000.0,0.19964262296489893
JNPR,11942943000.0,0.3747066363793246
JPM,486133531000.0,0.6013409513198134
K,18650214000.0,0.2113112482248193
KDP,44383310000.0,0.5660911725601357
