,Cnsmr,Manuf,HiTec,Hlth ,Other
195303,  -2.46,  -0.97,  -0.59,  -0.17,  -1.44
195304,  -1.01,  -3.55,  -0.70,  -5.34,  -3.20
195305,   0.47,   0.69,   0.76,  -0.04,   1.44
195306,  -2.13,  -1.69,  -0.78,  -3.31,  -2.06
195307,   1.79,   3.19,   1.58,   3.66,   1.43
195308,  -4.24,  -4.54,  -2.52,   0.05,  -6.80
195309,  -0.17,   0.25,   2.50,   0.42,  -0.98
195310,   3.23,   5.59,   4.12,   2.66,   3.69
195311,   1.19,   3.25,   3.59,   7.98,   2.78
195312,  -0.33,   0.58,   0.60,  -1.34,  -2.31
195401,   4.34,   5.58,   4.30,   5.65,   6.66
195402,   0.64,   1.67,   3.79,  -0.19,   1.54
195403,   1.89,   4.31,   5.31,   0.28,   1.79
195404,   2.29,   5.04,   5.69,   1.20,   2.87
195405,   3.30,   3.65,   0.35,   1.61,   4.40
195406,   1.32,   0.09,   5.45,  -2.43,   1.49
195407,   7.13,   4.95,   1.72,   8.21,   6.83
195408,  -2.31,  -2.09,  -3.15,  -2.56,  -2.27
195409,   8.24,   6.76,   4.55,   2.82,   4.32
195410,  -1.70,  -1.88,  -1.45,  -1.62,   0.58
195411,   6.00,  10.47,   8.62,  12.56,  11.16
195412,   4.98,   6.00,   2.40,   6.12,   9.38
195501,   0.77,   0.31,   2.30,  -2.88,   0.88
195502,   0.41,   3.54,   4.23,   2.85,   3.77
195503,  -0.62,  -0.01,  -0.70,   6.09,   0.94
195504,   4.15,   2.88,   3.89,   0.02,   3.45
195505,   0.21,   1.39,   0.59,   3.15,   1.64
195506,   6.12,   8.77,   1.85,   0.17,   2.37
195507,   9.63,   0.76,  -0.27,   0.13,  -1.43
195508,  -1.84,   1.30,  -0.71,   0.15,   0.58
195509,   4.57,  -0.94,  -1.75,  -3.17,  -2.71
195510,  -3.21,  -2.11,  -3.25,   0.82,  -2.61
195511,   6.80,   7.46,   5.97,   6.29,   8.30
195512,  -1.78,   2.68,   2.97,   6.23,  -0.64
195601,  -4.66,  -2.37,  -1.96,  -6.50,  -2.76
195602,   3.57,   4.25,   3.36,   8.27,   3.37
195603,   2.36,   8.33,   6.29,   7.26,   5.71
